,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
293,N/A,N/A,orly,N/A,N/A,N/A,N/A,N/A,035.19,N/A,N/A,N/A,14.45,19.97,12.20,1.08,142.39,74060000.0,N/A,N/A,N/A,N/A,N/A,10720000000.0,5390000000.0,1.08,N/A,20.37,50.30,19.40,872420000.0,11.78,6100000000.0,0.95,7.95,2420000000.0,1.08,1.65,88.04,N/A,1.47,1.17,0.00,N/A
294,N/A,N/A,oxy,N/A,N/A,N/A,N/A,N/A,178.59,N/A,N/A,N/A,56.15,31.04,6.22,1.86,24.22,930140000.0,N/A,N/A,N/A,N/A,N/A,21510000000.0,12060000000.0,1.86,N/A,14.45,1010000000.0,33.80,1010000000.0,1.09,41690000000.0,0.85,14.79,6110000000.0,1.86,0.17,84.51,N/A,1.99,5.31,48600000.0,N/A
295,N/A,N/A,payx,N/A,N/A,N/A,N/A,N/A,33.65,N/A,N/A,N/A,27.18,36.15,10.60,0.91,11.27,358800000.0,N/A,N/A,N/A,N/A,N/A,4040000000.0,2760000000.0,0.91,N/A,3.04,4.20,6.70,932400000.0,2.6,33.65,1.23,7.75,1440000000.0,0.91,10.76,70.51,N/A,6.23,3.35,10230000.0,N/A
296,N/A,N/A,pbct,N/A,N/A,N/A,N/A,N/A,17.95,N/A,N/A,N/A,26.78,41.84,0.87,1.17,4.44,424780000.0,N/A,N/A,N/A,N/A,N/A,1840000000.0,1810000000.0,1.17,N/A,1.14,32.50,7.70,2470000000.0,5.89,3300000000.0,17.95,17.95,613200000.0,1.17,0.65,81.01,N/A,3.16,4.51,16040000.0,N/A
297,N/A,N/A,pbi,N/A,N/A,N/A,N/A,N/A,576.23,N/A,N/A,N/A,1.17,5.35,2.00,3.03,19.02,173080000.0,N/A,N/A,N/A,N/A,N/A,3260000000.0,1280000000.0,3.03,N/A,0.22,1020000000.0,6.20,1020000000.0,5.87,2930000000.0,1.29,0.26,252230000.0,3.03,0.66,80.82,N/A,4.01,18.56,26750000.0,N/A
298,N/A,N/A,pcar,N/A,N/A,N/A,N/A,N/A,106.86,N/A,N/A,N/A,7.95,9.87,4.77,1.14,59.73,346150000.0,N/A,N/A,N/A,N/A,N/A,20710000000.0,3860000000.0,1.14,N/A,4.74,76.20,53.80,4170000000.0,12.04,10450000000.0,5.08,28.27,3030000000.0,1.14,2.01,65.42,N/A,1.88,1.07,4360000.0,N/A
299,N/A,N/A,pcg,N/A,N/A,N/A,N/A,N/A,047.01,N/A,N/A,N/A,37.95,12.88,1.50,1.09,34.08,1990000000.0,N/A,N/A,N/A,N/A,N/A,18010000000.0,4580000000.0,1.09,N/A,12.94,0.5,15.00,0.5,0.5,39800000000.0,0.55,6.70,5350000000.0,1.09,0.15,83.61,N/A,2.63,2.68,45890000.0,N/A
300,N/A,N/A,pdco,N/A,N/A,N/A,N/A,N/A,96.07,N/A,N/A,N/A,10.99,4.18,4.71,1.61,57.22,96280000.0,N/A,N/A,N/A,N/A,N/A,5410000000.0,1200000000.0,1.61,N/A,6.29,18.80,6.20,119560000.0,1.26,821190000.0,1.49,8.96,428130000.0,1.61,11.91,94.20,N/A,10.98,18.57,12510000.0,N/A
301,N/A,N/A,peg,N/A,N/A,N/A,N/A,N/A,110.43,N/A,N/A,N/A,18.09,25.58,3.23,0.56,19.07,505760000.0,N/A,N/A,N/A,N/A,N/A,9610000000.0,3610000000.0,0.56,N/A,3.42,194.80,11.50,0.85,0.85,17110000000.0,0.65,30.74,3220000000.0,0.56,0.06,72.25,N/A,2.73,1.20,6410000.0,N/A
302,N/A,N/A,pep,N/A,N/A,N/A,N/A,N/A,357.34,N/A,N/A,N/A,10.13,15.43,7.93,0.58,48.60,1380000000.0,N/A,N/A,N/A,N/A,N/A,67650000000.00001,37180000000.0,0.58,N/A,4.90,19.10,3.10,9120000000.0,6.59,44980000000.0,0.97,9.02,9720000000.0,0.58,0.14,73.53,N/A,1.97,0.52,8710000.0,N/A
