,A,AA,AAPL,ABBV,ABC,ABT,ACE,ACI,ACN
2001-02-02,35.612963813648,,1.3249786971772,,10.226160229851,13.391227869877,27.161798306306114,73.17359155035567,
2001-02-05,33.566241755393,,1.2973482005824,,10.419853285121,13.63251125492,27.755850812083033,78.74433435298721,
2001-02-06,34.773807769763,,1.3571071815899,,10.767667696197,13.879679600574,27.11169749256589,78.74433435298721,
2001-02-07,34.207548000313,,1.3333321031245,,10.653118039855,13.994436332484,27.698592739237064,85.86483267214031,
2001-02-08,36.984267592679,,1.3333321031245,,10.673945250099,14.209237394779,26.86119342386478,80.16843401681784,
2001-02-09,35.817636019474,,1.2285932439393,,10.892630957662,14.241604678138,26.99002408776821,79.16318719529033,
2001-02-12,34.876143872676,,1.2652197161697,,11.14672292264,14.565277511732,27.269157192892305,78.61867850029627,
2001-02-13,32.317741299857,,1.2285932439393,,11.454965634252,14.023861135538,27.469560447853194,75.51916746725317,
2001-02-14,32.74755293209,,1.2530108920929,,11.419559376837,13.950299127903,28.056455694524367,76.39875843608972,
2001-02-15,36.738660945689,,1.2889947946351,,11.100903060103,14.109193064395,27.12601201077738,80.67105742758159,
2001-02-16,34.112034304261,,1.2208824076803,,11.400814887618,14.271029481192,27.018653124191193,91.10049320092935,
2001-02-20,30.018590187749,,1.1765450991908,,11.523695428058,14.321051646384,26.12399573597294,90.09524637940187,
2001-02-21,27.426075580626,,1.212529001733,,11.39248400352,14.712401527002,25.30091093881215,93.40418383359653,
2001-02-22,26.655143605349,,1.2086735836035,,11.377904956349,14.697689125475,25.98085055385802,91.9381988855356,
2001-02-23,26.129818277064,,1.2086735836035,,11.350829583032,14.388728693408,26.1955683270304,91.51934604323249,
